Transaction ID,Sender Bank ID,Receiver Bank ID,Amount (USD),Timestamp,Currency,Transaction Type,Transaction Status,Slice ID,Bandwidth Allocation (Mbps),Latency (ms),Packet Loss Rate (%),Encryption Method,Public Key,Private Key,Session Key,Encryption Time (ms),Decryption Time (ms),QKD Protocol,QKD Success Rate (%),QKD Detection,Attack Type,Attack Success Rate (%),Computational Overhead (%)
T001,Bank4,Bank4,4537,2015-08-12 02:02:00,USD,Fund Transfer,Failed,Slice2,166,8,0.041375395479778435,ECC,X1,Y1,Z1,5,5,E91,57.31611196662201,True,Replay Attack,81.21202144621634,13
T002,Bank2,Bank1,2648,2016-01-25 11:48:00,EUR,Fund Transfer,Failed,Slice3,69,29,0.05531874894927909,ECC,X2,Y2,Z2,5,6,BB84,38.642409258823385,True,Quantum Interception,56.44936861143191,10
T003,Bank2,Bank1,1582,2019-12-15 19:28:00,EUR,Bill Payment,Pending,Slice1,199,26,0.0024508069462611417,AES,X3,Y3,Z3,9,7,E91,83.38511616479292,False,Man-in-the-Middle,35.40361227678124,23
T004,Bank2,Bank4,217,2018-11-04 19:10:00,USD,Transfer,Failed,Slice3,177,24,0.08285188691166867,AES,X4,Y4,Z4,6,7,E91,75.79420226362637,True,Quantum Interception,65.71923367634734,12
T005,Bank2,Bank4,614,2015-04-24 06:03:00,USD,Bill Payment,Failed,Slice2,148,16,0.00851562538946148,ECC,X5,Y5,Z5,8,7,E91,31.853977910190466,True,Replay Attack,66.00224831703575,13
T006,Bank4,Bank1,3399,2015-12-01 10:53:00,USD,Transfer,Failed,Slice1,178,21,0.04123616276335439,AES,X6,Y6,Z6,9,7,BB84,56.47979143682361,True,Man-in-the-Middle,87.96620110593962,11
T007,Bank1,Bank2,1692,2018-05-06 03:05:00,USD,Bill Payment,Failed,Slice1,158,6,0.023248165046299264,ECC,X7,Y7,Z7,8,3,BB84,98.42388939356799,True,Replay Attack,96.06944683227503,26
T008,Bank3,Bank4,4491,2018-03-09 18:12:00,EUR,Bill Payment,Successful,Slice2,193,21,0.02252793034299835,ECC,X8,Y8,Z8,7,3,BB84,26.798621404009516,True,Replay Attack,73.51637565767416,12
T009,Bank4,Bank4,1006,2015-11-05 19:08:00,EUR,Transfer,Failed,Slice1,193,27,0.06726424556830383,AES,X9,Y9,Z9,5,6,E91,57.16392103934476,True,Replay Attack,3.0762634112588616,10
T010,Bank4,Bank1,2325,2016-02-22 19:12:00,USD,Bill Payment,Successful,Slice3,155,16,0.061163208149761616,AES,X10,Y10,Z10,5,6,BB84,58.322767928780664,True,Man-in-the-Middle,67.91929534394258,29
T011,Bank4,Bank4,2012,2019-11-20 19:39:00,USD,Fund Transfer,Pending,Slice1,148,8,0.03867134894638905,ECC,X11,Y11,Z11,9,4,BB84,80.90336062904672,True,Man-in-the-Middle,32.07035391801989,18
T012,Bank3,Bank4,1702,2015-10-05 14:53:00,GBP,Fund Transfer,Successful,Slice2,71,28,0.04637534147493941,ECC,X12,Y12,Z12,4,3,BB84,69.8167904221907,False,Man-in-the-Middle,56.98235968175772,15
T013,Bank3,Bank3,1296,2018-05-09 20:24:00,EUR,Fund Transfer,Successful,Slice3,62,18,0.06569064521208944,AES,X13,Y13,Z13,5,3,BB84,15.000632997107044,True,Man-in-the-Middle,91.24124690966596,19
T014,Bank1,Bank3,270,2016-04-24 06:03:00,GBP,Fund Transfer,Pending,Slice1,53,14,0.0042446008485226725,AES,X14,Y14,Z14,7,4,E91,89.83722196680168,True,Replay Attack,1.3886625345538972,14
T015,Bank3,Bank1,1872,2019-11-06 07:24:00,GBP,Fund Transfer,Failed,Slice2,65,20,0.0930001491477988,AES,X15,Y15,Z15,6,4,E91,64.92415412707851,True,Quantum Interception,73.05765933755396,20
T016,Bank1,Bank1,1526,2015-10-25 01:53:00,GBP,Transfer,Successful,Slice1,114,13,0.07553086772811866,ECC,X16,Y16,Z16,6,8,BB84,54.44591024405794,False,Quantum Interception,82.54223512102915,24
T017,Bank4,Bank1,3624,2018-11-23 03:07:00,USD,Transfer,Failed,Slice2,192,20,0.048525011497786846,ECC,X17,Y17,Z17,6,6,E91,57.3606176897586,True,Man-in-the-Middle,57.321854704605855,25
T018,Bank4,Bank3,1373,2019-08-03 19:04:00,USD,Fund Transfer,Successful,Slice3,118,7,0.03758695427240029,AES,X18,Y18,Z18,8,6,E91,48.03341074273253,True,Replay Attack,84.80411022835555,27
T019,Bank3,Bank4,3044,2019-07-13 05:26:00,GBP,Bill Payment,Pending,Slice1,145,13,0.0024183174874381932,ECC,X19,Y19,Z19,6,5,E91,53.561239474420866,False,Man-in-the-Middle,48.83020041741407,29
T020,Bank2,Bank3,4533,2016-11-25 15:55:00,GBP,Bill Payment,Failed,Slice1,187,16,0.09078292063129526,ECC,X20,Y20,Z20,5,6,BB84,86.970959301649,True,Quantum Interception,45.26657429853442,12
T021,Bank2,Bank4,1754,2019-05-10 15:13:00,GBP,Bill Payment,Pending,Slice1,160,18,0.03051079391211985,AES,X21,Y21,Z21,4,8,BB84,47.11193324005746,True,Replay Attack,70.00668381165897,28
T022,Bank4,Bank2,4003,2016-09-12 11:03:00,GBP,Bill Payment,Failed,Slice3,95,20,0.0455603819935829,ECC,X22,Y22,Z22,5,8,BB84,93.2984103766113,False,Replay Attack,86.64046774952335,15
